conditions,genes,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
6h-2e10,Cct7,4.587699305434346e-10,-0.3035950203044082,0.788,0.859,6.326896112124507e-6
6h-2e10,Syngr2,4.6432536538763474e-10,-0.4395206561482718,0.482,0.604,6.40351111406087e-6
6h-2e10,Eif4e,4.919034744888354e-10,-0.3599653692584239,0.543,0.666,6.783840816675528e-6
6h-2e10,Bcl2l1,5.201464695225847e-10,-0.5347173250506002,0.501,0.593,7.173339961185966e-6
6h-2e10,Plxnc1,5.544854056640096e-10,-0.6688043848944589,0.191,0.312,7.646908229512357e-6
6h-2e10,Pmepa1,6.444814611161039e-10,0.6555986942991836,0.351,0.236,8.888043830252189e-6
6h-2e10,Gm2682,7.308410447840983e-10,0.6009294772101783,0.515,0.405,1.00790288486175e-5
6h-2e10,Rcsd1,7.983337578472019e-10,0.5286773947539055,0.482,0.366,1.1009820854470763e-5
6h-2e10,Atad3a,9.346883385509554e-10,-0.5352468188353525,0.307,0.438,1.2890286876956225e-5
6h-2e10,Odc1,1.1316817511516305e-9,-0.3723393392168687,0.764,0.822,1.5607023030132138e-5
6h-2e10,Ifrd1,1.1694084636803234e-9,-0.5467734788012462,0.403,0.519,1.612731212261534e-5
6h-2e10,Pum3,1.3614941680741488e-9,-0.4870919210201518,0.417,0.535,1.8776366071910586e-5
6h-2e10,Ccdc86,1.636841996387863e-9,-0.5778003744218706,0.311,0.436,2.257368797218502e-5
6h-2e10,Gm15987,1.6758021056715845e-9,1.1772900883920068,0.122,0.054,2.3110986839316824e-5
6h-2e10,Wdr75,2.0226252739657515e-9,-0.3939512015323869,0.489,0.612,2.789402515326168e-5
6h-2e10,Mdfic,2.3602602644508047e-9,-0.46989464863954233,0.505,0.605,3.255034930704105e-5
6h-2e10,Rasa1,2.4203929364011113e-9,0.45792496794307164,0.609,0.504,3.3379638985907725e-5
6h-2e10,Srsf7,2.750431864574661e-9,-0.24687281452418985,0.935,0.953,3.7931205844349155e-5
6h-2e10,Pgam1,2.891092384840698e-9,-0.2336525086167227,0.868,0.915,3.987105507933806e-5
6h-2e10,Capg,3.027796173954589e-9,0.3671965712928412,0.768,0.702,4.1756337035007736e-5
6h-2e10,Tomm70a,3.0812787388363894e-9,-0.3727042525264255,0.563,0.671,4.2493915087292645e-5
